Supplier name,Product type,Lead time,Order quantities,Price,Manufacturing costs
GreenRoute Suppliers,Pasta,15,1752,12.65,6.08
BulkBuy Wholesale,Chips,20,1457,33.42,14.59
SmartSource Inc,Snacks,16,203,25.82,17.16
TrustTrade Global,Snacks,15,1217,27.28,16.25
BestValue Suppliers,Dry Fruits,10,746,4.73,3.24
ClearPath Logistics,Chocolate,8,1112,32.84,19.21
FreshLink Trading,Sauces,6,1242,23.96,14.84
Metro Distributors,Rice,7,1042,23.55,14.37
MaxFlow Trading,Bakery Items,3,552,19.84,9.07
Metro Distributors,Cooking Oils,14,1275,15.99,10.97
CoreSupply Partners,Fresh Juice,7,697,28.75,17.42
TrustTrade Global,Dry Fruits,11,200,7.6,3.77
AllGoods Wholesale,Chocolate,19,1308,26.84,17.13
Metro Distributors,Personal Care,19,1871,23.88,15.02
TrueValue Wholesale,Sauces,2,1125,4.48,2.98
Metro Distributors,Tea,5,628,27.42,12.4
GreenRoute Suppliers,Health Supplements,14,102,12.14,8.4
SmartSource Inc,Beverages,18,1381,16.02,9.09
SmartSource Inc,Rice,10,1651,34.99,16.19
PeakPerform Supply,Coffee,6,1646,6.41,2.95
EasySupply Hub,Health Supplements,17,1065,38.64,17.92
AllGoods Wholesale,Cereals,4,1514,27.05,16.37
SmartSource Inc,Snacks,11,527,23.79,11.64
FastTrack Commerce,Snacks,20,1010,26.29,14.37
CoreSupply Partners,Sauces,18,1516,35.74,16.19
AllGoods Wholesale,Bakery Items,19,1604,43.29,18.17
SmartSource Inc,Baby Products,17,621,21.63,12.53
SafeShip Co,Health Supplements,9,264,6.85,4.72
SwiftDelivery Co,Dry Fruits,16,683,18.36,8.54
BulkBuy Wholesale,Personal Care,8,268,7.28,3.98
QuickShip Logistics,Tea,2,681,9.23,4.37
BulkBuy Wholesale,Coffee,12,1127,25.18,10.77
FreshLink Trading,Biscuits,12,1301,36.82,15.0
GreenRoute Suppliers,Beverages,10,288,18.08,7.94
NetWorth Distributors,Frozen Foods,14,233,25.57,14.57
Metro Distributors,Chips,13,511,5.71,2.36
ReliableSource Co,Dairy Products,16,1282,30.16,13.7
MegaStock Inc,Dairy Products,9,862,39.23,17.69
GreenRoute Suppliers,Biscuits,2,203,10.87,5.81
City Supply Co,Frozen Foods,2,1791,26.11,17.39
ReliableSource Co,Dairy Products,21,688,1.71,1.13
CoreSupply Partners,Pasta,14,1311,18.36,12.11
FastTrack Commerce,Sauces,3,1966,21.75,9.63
ProPack Trading,Frozen Foods,3,1345,33.82,17.23
SafeShip Co,Health Supplements,20,1179,1.81,1.12
ReliableSource Co,Condiments,13,518,11.98,5.54
Metro Distributors,Bakery Items,14,1504,9.66,4.25
FreshLink Trading,Snacks,11,1776,37.76,18.19
QuickShip Logistics,Coffee,9,122,39.71,20.21
FreshLink Trading,Baby Products,12,255,10.5,6.27
Metro Distributors,Chips,14,957,10.33,6.81
TrueValue Wholesale,Chips,6,650,43.93,23.87
FreshLink Trading,Cleaning Products,8,742,26.17,15.81
EasySupply Hub,Spices,9,534,26.01,12.14
TrustTrade Global,Cereals,18,791,22.4,10.31
BestValue Suppliers,Bakery Items,20,705,39.5,16.03
Metro Distributors,Beverages,19,661,5.94,2.63
TrustTrade Global,Coffee,13,139,5.52,2.72
SmartSource Inc,Cereals,5,598,18.52,7.44
PeakPerform Supply,Beverages,9,1232,12.62,7.45
SwiftDelivery Co,Cooking Oils,18,1517,30.89,19.01
DirectSource Ltd,Sauces,11,1366,8.52,3.66
QuickShip Logistics,Pet Food,21,93,7.61,3.43
QuickShip Logistics,Sauces,13,265,27.6,15.57
BestValue Suppliers,Beverages,14,1573,2.19,1.27
SteadyStock Inc,Coffee,13,116,21.36,10.75
TrueValue Wholesale,Baby Products,20,1944,8.53,5.5
NetWorth Distributors,Coffee,13,1693,2.41,1.25
ReliableSource Co,Sauces,7,1405,7.82,4.62
SmartSource Inc,Cleaning Products,11,451,33.4,20.11
SwiftDelivery Co,Fresh Juice,19,1851,33.84,20.0
PeakPerform Supply,Pet Food,17,1656,43.12,17.38
ReliableSource Co,Beverages,10,1781,43.69,24.76
ProPack Trading,Dairy Products,2,1746,11.39,7.23
MegaStock Inc,Cereals,11,1049,17.88,8.74
ValueChain Partners,Rice,6,1529,43.43,28.58
ProPack Trading,Bakery Items,20,1966,20.55,10.04
GreenRoute Suppliers,Dairy Products,11,794,26.75,13.55
AllGoods Wholesale,Snacks,3,347,28.82,19.29
EasySupply Hub,Baby Products,20,766,14.77,6.78
MegaStock Inc,Fresh Juice,10,326,36.8,22.31
RapidStock Co,Pasta,8,895,28.87,11.88
MaxFlow Trading,Dry Fruits,2,1208,24.15,10.82
MegaStock Inc,Snacks,18,288,12.99,6.87
DirectSource Ltd,Tea,3,358,37.87,19.9
NetWorth Distributors,Rice,5,1057,4.08,2.16
PrimePack Solutions,Frozen Foods,13,397,16.1,10.83
GreenRoute Suppliers,Personal Care,4,435,12.58,5.38
EasySupply Hub,Frozen Foods,7,1168,2.73,1.56
DirectSource Ltd,Dairy Products,17,807,13.07,5.35
TrustTrade Global,Cereals,16,1307,3.07,1.94
ValueChain Partners,Biscuits,7,1183,6.44,2.94
GreenRoute Suppliers,Condiments,21,1571,19.17,11.29
QuickShip Logistics,Beverages,19,385,36.36,19.16
ClearPath Logistics,Cooking Oils,15,2000,6.25,4.02
MaxFlow Trading,Sauces,11,841,13.58,7.1
ProPack Trading,Sauces,10,999,25.64,12.99
PrimePack Solutions,Spices,3,1186,12.87,6.51
BrightStar Distributors,Personal Care,4,1378,39.21,26.1
DirectSource Ltd,Cereals,20,1238,26.07,13.21
ReliableSource Co,Beverages,20,1235,39.96,22.15
QuickShip Logistics,Beverages,6,1116,16.48,8.25
PeakPerform Supply,Bakery Items,10,538,24.5,16.11
MegaStock Inc,Personal Care,12,338,1.99,0.91
TrueValue Wholesale,Personal Care,19,1609,19.31,12.55
QuickShip Logistics,Biscuits,5,1813,38.01,24.23
SmartSource Inc,Snacks,13,430,24.56,11.34
BestValue Suppliers,Pet Food,3,1791,38.95,17.86
EasySupply Hub,Coffee,9,1871,2.15,1.29
FastTrack Commerce,Snacks,9,1201,40.7,19.81
QuickShip Logistics,Baby Products,15,1355,22.15,14.12
RapidStock Co,Canned Goods,4,1241,39.13,17.1
Metro Distributors,Spices,2,1779,22.8,9.81
NetWorth Distributors,Snacks,21,774,44.05,21.5
TrueValue Wholesale,Pet Food,11,763,42.22,20.4
SteadyStock Inc,Fresh Juice,20,1982,44.49,19.35
DirectSource Ltd,Cereals,18,981,36.23,19.61
AllGoods Wholesale,Cleaning Products,11,553,6.57,3.99
TopShelf Trading,Spices,13,896,23.05,13.43
BestValue Suppliers,Tea,21,384,26.0,11.8
EasySupply Hub,Cereals,7,1516,22.2,9.99
ValueChain Partners,Cereals,17,1598,3.37,2.03
TopShelf Trading,Dry Fruits,4,1219,30.5,12.57
EasySupply Hub,Sauces,12,1449,36.55,15.82
TrueValue Wholesale,Pasta,4,1453,11.66,5.33
ReliableSource Co,Tea,14,1111,29.86,14.01
RapidStock Co,Pet Food,18,959,18.23,11.09
FreshLink Trading,Cleaning Products,15,118,42.07,27.06
TopShelf Trading,Dairy Products,20,261,21.98,8.84
ClearPath Logistics,Pasta,7,1822,11.84,7.4
NetWorth Distributors,Pasta,8,997,12.35,5.11
GreenRoute Suppliers,Dairy Products,18,588,9.89,4.18
SwiftDelivery Co,Personal Care,17,1515,6.69,3.55
AllGoods Wholesale,Canned Goods,15,304,4.34,2.7
DirectSource Ltd,Tea,14,1944,40.51,16.51
GreenRoute Suppliers,Pasta,16,1153,22.44,14.3
FastTrack Commerce,Baby Products,13,689,6.77,4.38
MegaStock Inc,Cooking Oils,15,1833,14.78,9.91
GreenRoute Suppliers,Dairy Products,5,1644,18.74,10.5
RapidStock Co,Frozen Foods,14,874,11.57,6.84
Metro Distributors,Beverages,19,1828,29.65,19.76
ValueChain Partners,Cereals,19,448,3.47,1.7
ClearPath Logistics,Cooking Oils,17,1088,33.51,22.35
TrustTrade Global,Cooking Oils,15,70,24.08,16.62
ReliableSource Co,Personal Care,10,1887,4.48,2.71
City Supply Co,Pet Food,6,626,13.87,7.22
SafeShip Co,Frozen Foods,19,1129,35.51,18.81
NetWorth Distributors,Condiments,10,1468,17.92,12.15
MaxFlow Trading,Biscuits,16,495,34.74,18.42
GreenRoute Suppliers,Dairy Products,10,1205,9.99,4.28
FreshLink Trading,Condiments,16,1915,7.32,3.26
BrightStar Distributors,Condiments,18,1574,44.81,22.03
Metro Distributors,Cleaning Products,9,56,35.27,20.9
MaxFlow Trading,Baby Products,9,617,26.19,15.62
TrustTrade Global,Rice,17,894,12.6,5.74
ProPack Trading,Condiments,19,1464,43.86,24.85
QuickShip Logistics,Condiments,9,1946,33.17,19.73
ReliableSource Co,Health Supplements,7,1351,22.7,13.82
AllGoods Wholesale,Bakery Items,19,203,17.32,11.59
ClearPath Logistics,Chips,7,797,31.44,17.62
City Supply Co,Frozen Foods,4,459,18.79,7.87
City Supply Co,Cleaning Products,9,550,23.41,9.87
BrightStar Distributors,Coffee,18,981,19.06,8.51
ProPack Trading,Rice,21,79,22.04,11.55
SafeShip Co,Personal Care,10,1136,23.63,9.48
SafeShip Co,Beverages,9,1253,5.33,2.9
FreshLink Trading,Frozen Foods,18,1095,30.61,16.32
TopShelf Trading,Cereals,21,1377,24.99,16.79
RapidStock Co,Cereals,3,1641,25.69,11.47
MaxFlow Trading,Frozen Foods,16,1373,43.04,18.46
EasySupply Hub,Chips,13,561,27.32,12.94
CoreSupply Partners,Fresh Juice,20,1107,33.22,15.71
CoreSupply Partners,Frozen Foods,3,948,8.78,4.3
SmartSource Inc,Fresh Juice,5,1810,31.04,15.59
MaxFlow Trading,Personal Care,7,523,44.71,28.85
TrustTrade Global,Coffee,19,110,4.31,2.47
TrustTrade Global,Coffee,3,223,13.55,9.42
SteadyStock Inc,Canned Goods,19,1867,44.8,21.35
NetWorth Distributors,Bakery Items,7,126,44.44,20.46
EasySupply Hub,Canned Goods,11,1173,20.92,11.53
TrustTrade Global,Frozen Foods,8,1721,21.02,12.49
AllGoods Wholesale,Fresh Juice,4,1032,41.81,26.8
BulkBuy Wholesale,Tea,16,884,2.6,1.36
CoreSupply Partners,Condiments,21,1844,29.78,14.88
FreshLink Trading,Health Supplements,9,884,25.74,16.94
City Supply Co,Fresh Juice,13,1632,22.14,9.35
EasySupply Hub,Chips,19,564,29.53,20.3
EasySupply Hub,Sauces,9,1433,12.23,7.61
PeakPerform Supply,Cooking Oils,15,1649,5.22,3.44
ValueChain Partners,Cooking Oils,9,751,22.46,12.23
ProPack Trading,Chocolate,13,1202,7.51,4.38
MegaStock Inc,Chocolate,9,897,4.71,3.26
TrueValue Wholesale,Chocolate,8,950,14.19,7.98
RapidStock Co,Frozen Foods,8,1603,28.45,19.83
City Supply Co,Rice,6,600,13.11,5.26
SwiftDelivery Co,Sauces,17,1361,4.21,1.84
ProPack Trading,Chocolate,7,1315,15.98,10.99
AllGoods Wholesale,Biscuits,4,1920,18.81,8.14
Metro Distributors,Cereals,16,1526,19.38,12.19
RapidStock Co,Rice,2,506,37.78,20.87
PeakPerform Supply,Baby Products,2,672,10.8,5.15
TopShelf Trading,Frozen Foods,15,1301,40.3,22.76
Metro Distributors,Chocolate,14,702,15.38,6.71
SmartSource Inc,Fresh Juice,5,1308,37.41,20.15
Metro Distributors,Coffee,18,473,28.67,13.25
FreshLink Trading,Cereals,6,1324,14.72,6.62
ProPack Trading,Cooking Oils,20,645,9.4,6.3
FreshLink Trading,Sauces,13,968,17.35,8.6
DirectSource Ltd,Chocolate,14,484,29.11,16.49
Metro Distributors,Personal Care,17,1421,34.05,13.65
MegaStock Inc,Sauces,3,1834,40.18,28.01
ProPack Trading,Condiments,18,1518,28.71,19.72
DirectSource Ltd,Bakery Items,3,1221,19.11,12.11
BrightStar Distributors,Fresh Juice,14,1745,6.56,4.35
MaxFlow Trading,Personal Care,4,1401,16.41,11.41
NetWorth Distributors,Sauces,14,92,36.5,16.4
DirectSource Ltd,Health Supplements,13,821,27.64,16.88
FreshLink Trading,Chocolate,4,650,10.76,6.75
ReliableSource Co,Sauces,21,974,15.77,7.88
MaxFlow Trading,Cooking Oils,10,855,35.66,18.38
GreenRoute Suppliers,Pasta,7,905,2.43,1.11
SteadyStock Inc,Chocolate,19,372,36.86,18.18
SafeShip Co,Chips,15,1255,18.91,11.68
AllGoods Wholesale,Health Supplements,5,1102,21.78,10.8
AllGoods Wholesale,Snacks,11,271,14.08,5.72
EasySupply Hub,Cereals,11,1128,20.85,10.43
BulkBuy Wholesale,Baby Products,14,297,40.99,27.22
SteadyStock Inc,Tea,21,165,39.17,17.53
BrightStar Distributors,Dry Fruits,8,1850,2.46,1.46
DirectSource Ltd,Rice,8,1982,42.37,25.67
FreshLink Trading,Condiments,10,1790,32.51,16.23
NetWorth Distributors,Dry Fruits,21,1271,2.83,1.17
PrimePack Solutions,Spices,14,843,35.5,23.28
AllGoods Wholesale,Coffee,6,1972,12.36,6.36
GreenRoute Suppliers,Fresh Juice,13,964,39.06,27.05
NetWorth Distributors,Health Supplements,4,1375,31.12,13.47
MaxFlow Trading,Snacks,11,252,11.77,6.42
ProPack Trading,Sauces,17,1291,17.22,9.88
SafeShip Co,Cleaning Products,8,1572,7.09,4.86
ValueChain Partners,Dry Fruits,14,1031,10.99,4.66
EasySupply Hub,Coffee,12,722,35.41,20.35
QuickShip Logistics,Canned Goods,2,1765,27.81,13.91
ClearPath Logistics,Beverages,7,1152,32.16,21.39
ValueChain Partners,Rice,8,1196,41.77,23.33
TrustTrade Global,Chips,16,876,26.36,18.1
FastTrack Commerce,Personal Care,14,842,22.68,14.29
SmartSource Inc,Fresh Juice,18,1287,44.57,23.05
SteadyStock Inc,Beverages,18,1618,22.33,11.77
RapidStock Co,Dairy Products,11,300,24.96,11.78
RapidStock Co,Snacks,21,634,28.03,16.99
MaxFlow Trading,Rice,10,1005,13.63,7.32
NetWorth Distributors,Canned Goods,13,664,13.36,8.26
ProPack Trading,Biscuits,15,180,4.15,2.08
NetWorth Distributors,Cleaning Products,7,1175,22.17,14.89
NetWorth Distributors,Spices,4,1836,28.19,16.44
TrueValue Wholesale,Pasta,14,1683,1.82,0.97
PrimePack Solutions,Biscuits,2,517,15.17,8.45
BestValue Suppliers,Dry Fruits,5,1434,40.83,23.19
TopShelf Trading,Cooking Oils,19,1063,22.39,8.96
BrightStar Distributors,Coffee,13,110,6.12,3.51
ClearPath Logistics,Dry Fruits,8,1766,36.42,21.43
MegaStock Inc,Sauces,16,1765,28.12,19.66
ProPack Trading,Health Supplements,11,1633,30.93,16.03
FastTrack Commerce,Dairy Products,17,1642,22.48,12.49
PrimePack Solutions,Fresh Juice,15,1547,20.62,12.98
SmartSource Inc,Fresh Juice,4,876,40.74,26.02
CoreSupply Partners,Biscuits,14,475,35.91,15.65
Metro Distributors,Condiments,6,1574,36.27,15.92
ClearPath Logistics,Dry Fruits,18,912,14.69,8.56
TrustTrade Global,Sauces,13,1707,37.39,21.32
NetWorth Distributors,Beverages,12,510,18.65,8.97
MaxFlow Trading,Cereals,10,1203,29.77,14.47
BulkBuy Wholesale,Bakery Items,16,828,8.91,5.98
TopShelf Trading,Snacks,4,1484,9.18,5.13
FastTrack Commerce,Pasta,18,384,24.67,16.66
MaxFlow Trading,Personal Care,20,383,37.29,18.89
SteadyStock Inc,Sauces,12,103,14.06,7.12
SmartSource Inc,Fresh Juice,21,907,27.54,11.33
FreshLink Trading,Dry Fruits,7,1845,11.0,4.7
ReliableSource Co,Spices,6,1700,14.57,9.98
ReliableSource Co,Bakery Items,12,1355,21.34,11.83
ValueChain Partners,Health Supplements,6,996,19.91,10.46
SteadyStock Inc,Dairy Products,7,1033,21.03,14.2
PeakPerform Supply,Chips,8,1697,12.01,5.67
MegaStock Inc,Fresh Juice,21,686,40.85,16.58
AllGoods Wholesale,Pasta,10,1681,15.44,8.0
TrustTrade Global,Dairy Products,15,1829,37.44,22.48
PrimePack Solutions,Chips,13,158,33.31,16.14
Metro Distributors,Condiments,4,1144,14.85,8.77
ReliableSource Co,Coffee,9,1418,9.36,4.89
PeakPerform Supply,Canned Goods,8,573,29.1,15.38
SafeShip Co,Cooking Oils,11,929,34.03,14.91
ClearPath Logistics,Snacks,9,1608,34.53,16.72
EasySupply Hub,Tea,7,942,12.82,7.72
FreshLink Trading,Dry Fruits,18,1314,9.02,6.28
ReliableSource Co,Dry Fruits,5,1878,14.55,6.74
MegaStock Inc,Condiments,12,1845,36.97,17.7
PrimePack Solutions,Spices,15,306,37.58,21.04
SteadyStock Inc,Fresh Juice,2,1066,31.67,17.52
PeakPerform Supply,Pet Food,9,1651,43.14,23.81
SafeShip Co,Tea,12,1784,4.67,2.9
ValueChain Partners,Pet Food,3,998,30.76,18.01
SmartSource Inc,Baby Products,12,87,17.78,11.79
ReliableSource Co,Canned Goods,10,156,34.48,20.74
MegaStock Inc,Pet Food,10,905,32.49,13.76
City Supply Co,Sauces,21,97,30.29,17.97
QuickShip Logistics,Bakery Items,21,1989,35.53,17.93
RapidStock Co,Tea,8,1359,20.62,10.28
MaxFlow Trading,Beverages,9,293,15.23,7.34
DirectSource Ltd,Cereals,21,1652,12.39,8.27
CoreSupply Partners,Canned Goods,19,83,31.43,14.97
Metro Distributors,Snacks,20,387,35.41,21.93
GreenRoute Suppliers,Bakery Items,20,776,42.13,17.46
ProPack Trading,Biscuits,17,547,2.16,1.42
ClearPath Logistics,Condiments,20,105,38.44,18.14
ValueChain Partners,Cleaning Products,8,1986,9.6,5.63
ReliableSource Co,Sauces,6,101,40.37,24.4
CoreSupply Partners,Health Supplements,13,1497,16.56,11.24
TrustTrade Global,Canned Goods,18,667,27.9,14.27
MaxFlow Trading,Cooking Oils,16,1168,31.58,20.54
MaxFlow Trading,Cereals,21,547,27.7,17.5
GreenRoute Suppliers,Dairy Products,2,1234,31.17,13.21
AllGoods Wholesale,Chocolate,18,773,34.64,19.54
SmartSource Inc,Frozen Foods,18,1975,38.71,23.37
RapidStock Co,Spices,17,418,33.08,21.47
FastTrack Commerce,Dry Fruits,16,1111,10.14,6.13
FreshLink Trading,Biscuits,21,1201,20.3,10.32
TopShelf Trading,Chips,18,648,19.08,12.17
SafeShip Co,Baby Products,2,1755,21.11,10.3
SteadyStock Inc,Fresh Juice,7,1420,15.39,9.6
TopShelf Trading,Tea,2,1884,10.6,4.74
QuickShip Logistics,Biscuits,18,965,17.02,9.12
MegaStock Inc,Snacks,20,1180,39.37,23.6
City Supply Co,Coffee,12,1864,44.2,29.7
City Supply Co,Pasta,14,1674,40.4,27.2
ReliableSource Co,Tea,11,476,26.77,15.79
PeakPerform Supply,Pasta,19,564,22.38,12.27
BestValue Suppliers,Frozen Foods,3,355,14.46,9.23
PeakPerform Supply,Pet Food,10,76,31.17,14.67
QuickShip Logistics,Chips,17,215,41.04,24.45
BrightStar Distributors,Personal Care,2,297,4.44,1.85
GreenRoute Suppliers,Pet Food,14,1050,41.08,23.95
TopShelf Trading,Dairy Products,14,1316,36.54,17.39
BulkBuy Wholesale,Fresh Juice,4,1357,35.28,18.26
ClearPath Logistics,Fresh Juice,10,1040,4.38,1.79
SafeShip Co,Chips,9,759,9.46,4.75
SwiftDelivery Co,Canned Goods,2,1163,12.29,8.43
ReliableSource Co,Pet Food,8,73,29.84,12.61
TrustTrade Global,Dairy Products,18,503,9.26,4.62
RapidStock Co,Snacks,3,1768,43.03,21.02
MaxFlow Trading,Baby Products,14,1844,17.92,10.91
GreenRoute Suppliers,Snacks,19,823,2.55,1.25
AllGoods Wholesale,Personal Care,9,247,18.81,8.32
BulkBuy Wholesale,Rice,14,1763,33.67,23.42
ProPack Trading,Bakery Items,3,829,3.6,1.86
EasySupply Hub,Tea,9,1056,40.99,22.89
ReliableSource Co,Dry Fruits,7,198,12.62,7.11
City Supply Co,Snacks,16,379,36.57,14.91
ClearPath Logistics,Pasta,17,1321,36.73,23.86
BrightStar Distributors,Snacks,5,1392,5.63,2.35
SwiftDelivery Co,Pet Food,14,605,21.73,14.36
EasySupply Hub,Baby Products,12,1154,28.9,15.5
SwiftDelivery Co,Tea,20,93,40.06,25.71
FastTrack Commerce,Sauces,16,1833,33.18,19.58
CoreSupply Partners,Baby Products,10,1623,22.78,13.23
FreshLink Trading,Beverages,20,1608,28.38,16.62
PeakPerform Supply,Cleaning Products,8,1570,37.37,20.36
DirectSource Ltd,Biscuits,14,694,8.56,5.4
AllGoods Wholesale,Beverages,11,696,38.01,17.41
ReliableSource Co,Condiments,2,590,28.12,15.84
Metro Distributors,Tea,3,54,2.52,1.3
CoreSupply Partners,Tea,13,741,12.89,6.5
MaxFlow Trading,Health Supplements,21,939,36.52,23.26
FreshLink Trading,Fresh Juice,8,1133,7.57,3.21
ProPack Trading,Canned Goods,8,157,9.87,6.34
SmartSource Inc,Frozen Foods,4,1022,36.37,16.46
TrustTrade Global,Cereals,9,1822,2.77,1.75
City Supply Co,Baby Products,10,1183,42.1,27.49
TopShelf Trading,Cleaning Products,2,1146,40.17,22.28
EasySupply Hub,Health Supplements,4,269,8.73,4.45
Metro Distributors,Rice,11,1487,39.77,16.62
MegaStock Inc,Personal Care,16,1939,22.54,9.64
BulkBuy Wholesale,Tea,5,1488,19.1,8.25
RapidStock Co,Chocolate,5,1792,30.19,16.19
EasySupply Hub,Fresh Juice,9,1919,17.48,7.44
BulkBuy Wholesale,Fresh Juice,17,463,37.52,20.09
FreshLink Trading,Beverages,16,1616,1.79,0.93
EasySupply Hub,Chocolate,15,611,19.73,12.26
DirectSource Ltd,Bakery Items,11,1018,40.06,20.23
BestValue Suppliers,Rice,15,1174,26.26,12.01
NetWorth Distributors,Rice,7,752,9.0,4.84
TrueValue Wholesale,Sauces,19,1243,37.81,22.38
ProPack Trading,Health Supplements,17,1711,34.27,20.7
RapidStock Co,Cooking Oils,4,844,28.75,14.83
FastTrack Commerce,Baby Products,7,1418,29.81,17.8
BrightStar Distributors,Beverages,5,592,30.92,12.53
BestValue Suppliers,Cooking Oils,3,1440,20.64,12.26
FreshLink Trading,Cooking Oils,5,1321,28.03,14.41
ClearPath Logistics,Cleaning Products,9,338,11.23,6.68
ProPack Trading,Coffee,6,739,32.72,17.2
SafeShip Co,Dairy Products,13,1357,43.46,25.32
SafeShip Co,Cooking Oils,9,521,36.49,20.13
DirectSource Ltd,Dairy Products,14,307,41.7,29.04
PeakPerform Supply,Chips,2,939,9.56,5.93
SmartSource Inc,Dairy Products,12,1523,31.76,16.6
City Supply Co,Personal Care,8,104,43.71,25.03
City Supply Co,Cooking Oils,4,1358,24.21,11.59
GreenRoute Suppliers,Pasta,20,469,19.22,9.54
SmartSource Inc,Snacks,18,1071,20.77,12.23
CoreSupply Partners,Cereals,11,1047,7.81,5.24
ValueChain Partners,Bakery Items,15,999,18.36,7.86
AllGoods Wholesale,Coffee,11,544,2.4,1.25
ProPack Trading,Rice,6,1284,29.35,12.97
SmartSource Inc,Cereals,11,1120,22.51,13.08
TopShelf Trading,Frozen Foods,20,1787,16.1,8.47
PrimePack Solutions,Biscuits,20,132,25.71,12.97
SmartSource Inc,Canned Goods,14,336,20.56,13.81
FastTrack Commerce,Bakery Items,7,741,24.17,10.62
CoreSupply Partners,Biscuits,16,855,44.25,20.66
Metro Distributors,Pasta,5,1325,20.74,13.69
ValueChain Partners,Pasta,16,921,16.34,7.43
CoreSupply Partners,Canned Goods,11,871,38.25,19.9
MaxFlow Trading,Spices,5,894,27.28,11.46
SwiftDelivery Co,Dairy Products,16,263,12.27,7.44
BulkBuy Wholesale,Cleaning Products,19,658,15.76,9.34
Metro Distributors,Health Supplements,12,64,28.71,14.54
ReliableSource Co,Tea,10,1448,15.96,8.91
City Supply Co,Coffee,15,909,15.09,8.12
DirectSource Ltd,Bakery Items,9,1167,30.49,13.28
NetWorth Distributors,Fresh Juice,3,1064,24.81,11.67
SwiftDelivery Co,Dry Fruits,11,1157,9.18,6.2
MaxFlow Trading,Canned Goods,10,792,7.02,4.55
MaxFlow Trading,Pet Food,19,1149,6.66,4.41
ClearPath Logistics,Condiments,13,1702,12.3,5.32
EasySupply Hub,Health Supplements,13,687,19.22,12.34
QuickShip Logistics,Bakery Items,20,1393,6.25,3.73
DirectSource Ltd,Personal Care,16,1820,11.17,6.62
ClearPath Logistics,Dairy Products,7,1746,26.6,17.18
FastTrack Commerce,Spices,18,562,13.76,9.56
SafeShip Co,Beverages,5,325,21.45,9.05
ReliableSource Co,Tea,17,1478,6.07,3.01
TopShelf Trading,Chocolate,12,448,37.5,21.77
PeakPerform Supply,Chips,5,1444,21.11,10.16
RapidStock Co,Pasta,2,1918,24.39,14.56
Metro Distributors,Pet Food,19,1268,33.41,15.03
TopShelf Trading,Snacks,14,585,37.52,21.82
CoreSupply Partners,Sauces,12,1188,34.07,13.96
SafeShip Co,Chips,9,1001,19.8,9.83
PeakPerform Supply,Fresh Juice,12,1186,21.19,9.3
Metro Distributors,Frozen Foods,9,1176,39.72,19.7
PrimePack Solutions,Fresh Juice,3,77,25.62,13.05
AllGoods Wholesale,Beverages,5,1817,24.37,13.78
Metro Distributors,Beverages,9,50,1.52,1.03
NetWorth Distributors,Biscuits,6,1168,43.79,28.88
BrightStar Distributors,Coffee,7,1659,33.02,21.6
BulkBuy Wholesale,Snacks,8,70,21.26,8.9
SteadyStock Inc,Biscuits,4,1892,34.72,19.84
PrimePack Solutions,Frozen Foods,8,1838,32.28,17.44
TopShelf Trading,Sauces,7,281,17.43,7.33
SteadyStock Inc,Health Supplements,4,1234,44.66,18.66
Metro Distributors,Pet Food,6,980,33.42,19.58
PrimePack Solutions,Health Supplements,21,681,38.43,26.12
ClearPath Logistics,Biscuits,15,493,15.95,10.06
FastTrack Commerce,Rice,20,393,32.1,16.6
AllGoods Wholesale,Chips,19,1048,29.55,14.21
MegaStock Inc,Cooking Oils,21,231,3.81,1.68
CoreSupply Partners,Baby Products,9,1975,11.93,6.07
SmartSource Inc,Chocolate,13,982,38.27,17.01
SmartSource Inc,Cleaning Products,9,587,18.9,8.78
SmartSource Inc,Dry Fruits,5,1867,20.41,12.22
Metro Distributors,Cooking Oils,12,1914,25.65,13.07
Metro Distributors,Health Supplements,6,1252,19.31,9.3
RapidStock Co,Dry Fruits,3,1666,39.57,26.02
TrueValue Wholesale,Dry Fruits,11,182,20.14,11.48
TopShelf Trading,Personal Care,7,1385,3.33,1.8
CoreSupply Partners,Chocolate,21,1447,33.28,14.27
MegaStock Inc,Pasta,19,215,36.72,20.88
BestValue Suppliers,Bakery Items,17,1332,8.54,4.13
MaxFlow Trading,Chocolate,11,1147,33.63,16.18
ValueChain Partners,Snacks,3,1230,39.29,20.68
AllGoods Wholesale,Pet Food,18,864,16.58,9.32
Metro Distributors,Coffee,7,93,37.53,21.29
ClearPath Logistics,Beverages,13,985,36.39,15.43
ReliableSource Co,Coffee,11,1819,10.65,6.7
ClearPath Logistics,Spices,16,708,31.32,18.71
BestValue Suppliers,Canned Goods,12,754,44.76,30.05
CoreSupply Partners,Cooking Oils,15,1074,2.57,1.56
ValueChain Partners,Fresh Juice,21,1542,2.08,0.9
SafeShip Co,Cleaning Products,19,277,7.06,3.27
SteadyStock Inc,Canned Goods,10,1491,9.64,5.65
ClearPath Logistics,Rice,17,1439,3.12,1.37
TrueValue Wholesale,Cooking Oils,5,1221,31.63,16.38
TopShelf Trading,Tea,6,681,31.71,20.11
City Supply Co,Dry Fruits,13,1706,43.34,26.3
ReliableSource Co,Frozen Foods,11,1140,22.35,10.88
TrustTrade Global,Cereals,3,1983,31.35,14.54
NetWorth Distributors,Canned Goods,19,1285,2.79,1.63
SteadyStock Inc,Personal Care,3,125,32.65,21.19
